49,Levitating (feat. DaBaby),Dua Lipa,1458645,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
50,death bed (coffee for your head),Powfu,1445959,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
51,La Nota,Manuel Turizo,1352973,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
52,Sofia,Clairo,1332445,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
53,Mi Cuarto,Jerry Di,1328508,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
54,Go Crazy,Chris Brown,1326803,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
55,Rain On Me (with Ariana Grande),Lady Gaga,1321937,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
56,Parce (feat. Justin Quiles),Maluma,1317437,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
57,Circles,Post Malone,1313695,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
58,Blueberry Faygo,Lil Mosey,1291219,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
59,my ex's best friend (with blackbear),Machine Gun Kelly,1264510,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
60,Caramelo,Ozuna,1247377,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
61,Memories,Maroon 5,1216335,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
62,Pretty Savage,BLACKPINK,1214853,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
63,Adore You,Harry Styles,1201691,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
64,Stuck with U (with Justin Bieber),Ariana Grande,1195771,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
65,Señorita,Shawn Mendes,1189663,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
66,Mi Niña,Wisin,1180866,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
67,goosebumps,Travis Scott,1177523,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
68,Mad at Disney,salem ilese,1170457,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
69,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,1168997,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
70,Lucid Dreams,Juice WRLD,1159054,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
71,Deep End,Fousheé,1156415,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
72,The Box,Roddy Ricch,1149408,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
73,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,1142376,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
