1,Mood (feat. iann dior),24kGoldn,4997856,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,4271396,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,Dynamite,BTS,3675035,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
4,WAP (feat. Megan Thee Stallion),Cardi B,3626604,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,Hawái,Maluma,3389076,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
6,What You Know Bout Love,Pop Smoke,3373111,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Holy (feat. Chance The Rapper),Justin Bieber,3207618,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
8,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,3068720,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
9,Blinding Lights,The Weeknd,3017302,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Lonely (with benny blanco),Justin Bieber,2976139,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
11,Watermelon Sugar,Harry Styles,2857913,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,you broke me first,Tate McRae,2601990,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
13,Head & Heart (feat. MNEK),Joel Corry,2581136,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,ROCKSTAR (feat. Roddy Ricch),DaBaby,2366855,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,Heather,Conan Gray,2260035,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,Relación - Remix,Sech,2209879,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
17,Laugh Now Cry Later (feat. Lil Durk),Drake,2200530,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
18,Wonder,Shawn Mendes,2199672,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
19,Put Your Records On,Ritt Momney,2142729,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
20,Savage Love (Laxed - Siren Beat),Jawsh 685,2109691,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
21,Dreams - 2004 Remaster,Fleetwood Mac,1987753,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
22,Someone You Loved,Lewis Capaldi,1983368,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Lovesick Girls,BLACKPINK,1980219,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
24,Ice Cream (with Selena Gomez),BLACKPINK,1933392,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
25,Roses - Imanbek Remix,SAINt JHN,1909781,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
26,La Tóxica,Farruko,1887710,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,Before You Go,Lewis Capaldi,1818967,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
28,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1818176,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
29,La Curiosidad,Jay Wheeler,1810849,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
30,Take You Dancing,Jason Derulo,1806804,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
31,Vida de Rico,Camilo,1800755,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
32,Breaking Me,Topic,1762008,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
33,POPSTAR (feat. Drake),DJ Khaled,1746715,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
34,Se Te Nota (with Guaynaa),Lele Pons,1743972,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
35,"Ay, DiOs Mío!",KAROL G,1683910,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
36,Midnight Sky,Miley Cyrus,1668690,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
37,Dance Monkey,Tones And I,1659231,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
38,Come & Go (with Marshmello),Juice WRLD,1614711,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
39,Mood Swings (feat. Lil Tjay),Pop Smoke,1601092,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
40,Una Locura,Ozuna,1593064,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
41,How You Like That,BLACKPINK,1572461,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
42,Despeinada,Ozuna,1571916,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
43,Tattoo - Remix with Camilo,Rauw Alejandro,1522398,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
44,La Jeepeta - Remix,Nio Garcia,1461744,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
45,Don't Start Now,Dua Lipa,1452880,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
46,Wishing Well,Juice WRLD,1435620,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
47,Jeans,Justin Quiles,1419736,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
48,death bed (coffee for your head),Powfu,1418279,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
