1,Mood (feat. iann dior),24kGoldn,5029927,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,4313620,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,Dynamite,BTS,3688555,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
4,WAP (feat. Megan Thee Stallion),Cardi B,3646077,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,Hawái,Maluma,3420131,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
6,What You Know Bout Love,Pop Smoke,3406745,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Holy (feat. Chance The Rapper),Justin Bieber,3180392,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
8,Blinding Lights,The Weeknd,3082609,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,3070940,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
10,Lonely (with benny blanco),Justin Bieber,3028969,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
11,Watermelon Sugar,Harry Styles,2857643,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,you broke me first,Tate McRae,2626374,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
13,Head & Heart (feat. MNEK),Joel Corry,2610254,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,ROCKSTAR (feat. Roddy Ricch),DaBaby,2353135,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,Heather,Conan Gray,2285544,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,Relación - Remix,Sech,2240088,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
17,Wonder,Shawn Mendes,2237080,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
18,Laugh Now Cry Later (feat. Lil Durk),Drake,2199952,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
19,Put Your Records On,Ritt Momney,2185129,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
20,Savage Love (Laxed - Siren Beat),Jawsh 685,2126728,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
21,Dreams - 2004 Remaster,Fleetwood Mac,2011115,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
22,Someone You Loved,Lewis Capaldi,1986315,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Lovesick Girls,BLACKPINK,1963123,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
24,Roses - Imanbek Remix,SAINt JHN,1943999,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
25,Ice Cream (with Selena Gomez),BLACKPINK,1933964,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
26,La Tóxica,Farruko,1908638,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1843769,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
28,Take You Dancing,Jason Derulo,1829939,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
29,La Curiosidad,Jay Wheeler,1819894,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
30,Before You Go,Lewis Capaldi,1813299,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,Vida de Rico,Camilo,1810452,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
32,Breaking Me,Topic,1770938,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
33,Se Te Nota (with Guaynaa),Lele Pons,1765100,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
34,POPSTAR (feat. Drake),DJ Khaled,1738180,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
35,Midnight Sky,Miley Cyrus,1704349,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
